Planet_Name,ra,st_raerr,st_rah,st_raherr,ra_str,dec,st_decerr,dec_str,st_glon,st_glonerr,st_glat,st_glaterr,st_elon,st_elonerr,st_elat,st_elaterr,st_posn,st_plx,st_plxerr1,st_plxerr2,st_plxlim,st_plxn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_pmra,st_pmraerr,st_pmralim,st_pmdec,st_pmdecerr,st_pmdeclim,st_pm,st_pmerr,st_pmlim,st_pmn,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvn,st_uj,st_ujerr,st_ujlim,st_bj,st_bjerr,st_bjlim,st_vj,st_vjerr,st_vjlim,st_rc,st_rcerr,st_rclim,st_ic,st_icerr,st_iclim,st_j,st_jerr,st_jlim,st_h,st_herr,st_hlim,st_k,st_kerr,st_klim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim,st_irac1,st_irac1err,st_irac1lim,st_irac2,st_irac2err,st_irac2lim,st_irac3,st_irac3err,st_irac3lim,st_irac4,st_irac4err,st_irac4lim,st_mips1,st_mips1err,st_mips1lim,st_mips2,st_mips2err,st_mips2lim,st_mips3,st_mips3err,st_mips3lim,st_iras1,st_iras1err,st_iras1lim,st_iras2,st_iras2err,st_iras2lim,st_iras3,st_iras3err,st_iras3lim,st_iras4,st_iras4err,st_iras4lim,st_optmag,st_optmagerr,st_optmaglim,st_optband,st_photn,st_umbj,st_umbjerr,st_umbjlim,st_bmvj,st_bmvjerr,st_bmvjlim,st_vjmic,st_vjmicerr,st_vjmiclim,st_vjmrc,st_vjmrcerr,st_vjmrclim,st_jmh2,st_jmh2err,st_jmh2lim,st_hmk2,st_hmk2err,st_hmk2lim,st_jmk2,st_jmk2err,st_jmk2lim,st_bmy,st_bmyerr,st_bmylim,st_m1,st_m1err,st_m1lim,st_c1,st_c1err,st_c1lim,st_colorn,st_spstr,st_ssperr,st_splim,st_spn,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggn,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metfen,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_dens,st_denserr1,st_denserr2,st_denslim,st_densn,st_age,st_ageerr1,st_ageerr2,st_agelim,st_agen,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_vsinin,st_acts,st_actserr,st_actslim,st_actsn,st_actr,st_actrerr,st_actrlim,st_actrn,st_actlx,st_actlxerr,st_actlxlim,st_actlxn,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,hd_name,hip_name,swasp_id,pl_name,pl_hostname,pl_letter,pl_pnum,pl_snum,pl_mnum,pl_status,pl_discmethod,pl_disc,pl_disc_refname,pl_publ_date,pl_facility,pl_telescope,pl_instrument,pl_locale,pl_def_refname,pl_rvflag,pl_imgflag,pl_astflag,pl_tranflag,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,pl_cbflag,pl_omflag,pl_pelink,pl_edelink,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orbtpern,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_orblpern,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_rvampn,pl_conrat,pl_conraterr1,pl_conraterr2,pl_conratlim,pl_conratband,pl_conratn,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinin,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massn,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtn,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insoln,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepn,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_trandurn,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidn,pl_tsystemref,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_impparn,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_occdepn,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratdorn,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_ratrorn,pl_mrtranmid,pl_mrtranmiderr1,pl_mrtranmiderr2,pl_mrtranmidlim,pl_mrtmrefid,pl_mrtmreflink,pl_mrtsystemref,pl_st_npar,pl_st_nref,rowupdate,gaia_plx,gaia_plxerr1,gaia_plxerr2,gaia_plxlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,gaia_pmra,gaia_pmraerr,gaia_pmralim,gaia_pmdec,gaia_pmdecerr,gaia_pmdeclim,gaia_pm,gaia_pmerr,gaia_pmlim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,pl_angsep,pl_angseperr1,pl_angseperr2,pl_controvflag
kepler992b,284.43028,1.9e-05,18.96201867,1.3e-06,18h57m43.27s,47.641785,1.9e-05,+47d38m30.4s,77.613893,2.4e-05,18.69388,1.9e-05,298.85449,5.2e-05,69.63967,2.2e-05,2,,,,,1,268.0,6.79,-7.68,0,3,17.2,0.0,0,-18.0,0.0,0,24.9,0.0,0,1,,,,,0,,,,,,,,,,,,,,,,11.899,0.022,0,11.381,0.018,0,11.274,0.022,0,11.231,0.022,0,11.289,0.021,0,11.19,0.115,0,9.269,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.389,,0,Kepler-band,14,,,,,,,,,,,,,0.518,0.028,0,0.107,0.028,0,0.625,0.031,0,,,,,,,,,,5,,,,0,4944.0,43.61,-46.1,0,5,4.6,0.01,-0.01,0.0,3,-0.04,0.101,-0.098,0,2,[Fe/H],,,,,1,0.74,0.02,-0.02,0,5,0.8,0.03,-0.03,0,2,,,,,0,3.02,2.64,-1.3,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-992 b,Kepler-992,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-992_b/,,20.16034462,5.016e-05,-5.016e-05,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.145,0.004,-0.024,0,1.62,0.04,-0.27,0,0.015,0.0,-0.002,0,2,,,,,0,,,,,0,,,,,1,,,,,1,0.159229,0.003304,-0.003304,0,2,2454977.3439,0.00205,-0.00205,0,3,JD,,,,,0,,,,,0,,,,,0,0.02024,9e-05,-0.0033,0,1,,,,,,,,32,12,2016-05-10,3.82,0.02,-0.02,0,261.6,1.1,-1.1,0,17.2,0.0,0,-18.0,0.0,0,24.9,0.0,0,13.39,,0,,,,0
kepler738b,287.569664,1.7e-05,19.1713109,1.11e-06,19h10m16.72s,46.567859,1.7e-05,+46d34m04.3s,77.377554,2.1e-05,16.31324,1.7e-05,303.589926,4.3e-05,67.968551,1.9e-05,2,,,,,1,992.0,72.65,-70.33,0,3,4.0,,0,6.0,,0,7.2,,0,2,,,,,0,,,,,,,,,,,,,,,,14.311,0.024,0,13.855,0.025,0,13.818,0.041,0,13.832,0.025,0,13.882,0.032,0,12.609,,-1,9.057,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.598,,0,Kepler-band,14,,,,,,,,,,,,,0.456,0.035,0,0.037,0.048,0,0.493,0.048,0,,,,,,,,,,5,,,,0,5327.0,66.34,-61.93,0,4,4.55,0.04,-0.07,0.0,2,-0.09,0.146,-0.172,0,2,[Fe/H],,,,,1,0.82,0.06,-0.05,0,4,0.86,0.04,-0.05,0,1,,,,,0,4.57,6.05,-2.92,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-738 b,Kepler-738,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-738_b/,,24.58721573,8.802e-05,-8.802e-05,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.223,0.018,-0.015,0,2.5,0.2,-0.17,0,0.023,0.002,-0.002,0,2,,,,,0,,,,,0,,,,,1,,,,,1,0.161121,0.003908,-0.003908,0,2,2455006.70385,0.00293,-0.00293,0,3,JD,,,,,0,,,,,0,,,,,0,0.02823,0.00098,-0.00066,0,1,,,,,,,,28,11,2016-05-10,0.87,0.03,-0.03,0,1149.93,39.67,-39.67,0,0.9,0.1,0,5.5,0.1,0,5.6,0.1,0,15.591,,0,,,,0
kepler1039b,298.326591,1.7e-05,19.8884394,1.11e-06,19h53m18.38s,45.315514,1.7e-05,+45d18m55.9s,79.595684,2.1e-05,9.050135,1.8e-05,319.487484,4e-05,63.967348,2e-05,2,,,,,1,324.0,23.57,-20.7,0,3,4.9,0.0,0,-19.3,0.0,0,19.9,0.0,0,1,,,,,0,,,,,,,,,,,,,,,,12.424,0.023,0,11.863,0.019,0,11.753,0.019,0,11.707,0.023,0,11.779,0.021,0,12.132,0.201,0,9.253,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.145,,0,Kepler-band,14,,,,,,,,,,,,,0.561,0.03,0,0.11,0.027,0,0.671,0.03,0,,,,,,,,,,5,,,,0,4870.0,194.18,-173.27,0,5,4.6,0.03,-0.04,0.0,3,0.01,0.15,-0.164,0,2,[Fe/H],,,,,1,0.74,0.04,-0.04,0,5,0.79,0.05,-0.04,0,2,,,,,0,4.37,5.92,-2.57,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-1039 b,Kepler-1039,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/Kepler-1039_b/,,0.93488424,8.7e-07,-8.7e-07,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.13,0.008,-0.02,0,1.46,0.09,-0.22,0,0.013,0.001,-0.002,0,2,,,,,0,,,,,0,,,,,1,,,,,0,0.059058,0.001125,-0.001125,0,1,2454964.581851,0.000821,-0.000821,0,2,JD,,,,,0,,,,,0,,,,,0,0.01774,0.00011,-0.00255,0,1,,,,,,,,28,11,2016-05-10,3.23,0.02,-0.02,0,309.64,1.95,-1.95,0,4.9,0.0,0,-19.3,0.0,0,19.9,0.0,0,14.096,,0,,,,0
kepler732c,283.732021,3.6e-05,18.91546807,2.41e-06,18h54m55.69s,45.958771,1.7e-05,+45d57m31.6s,75.772717,2.6e-05,18.563723,2.9e-05,296.317276,7.7e-05,68.147262,2.2e-05,2,,,,,1,150.0,11.13,-13.53,0,3,-41.1,0.1,0,-52.6,0.1,0,66.8,0.1,0,1,,,,,0,,,,,,,,,,,,,,,,12.596,0.025,0,11.952,0.021,0,11.721,0.018,0,11.594,0.023,0,11.559,0.021,0,11.558,0.14,0,9.076,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.073,,0,Kepler-band,14,,,,,,,,,,,,,0.644,0.033,0,0.231,0.028,0,0.875,0.031,0,,,,,,,,,,5,,,,0,3631.0,35.05,-37.03,0,5,4.79,0.04,-0.03,0.0,3,-0.01,0.086,-0.086,0,2,[Fe/H],,,,,0,0.46,0.03,-0.03,0,4,0.49,0.03,-0.03,0,1,,,,,0,4.47,5.44,-2.7,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-732 c,Kepler-732,c,2,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-732_c/,,0.89304124,4.6e-07,-4.6e-07,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.113,0.006,-0.009,0,1.27,0.07,-0.1,0,0.012,0.001,-0.001,0,2,,,,,0,,,,,0,,,,,1,,,,,1,0.046008,0.000646,-0.000646,0,2,2454967.540277,0.000424,-0.000424,0,3,JD,,,,,0,,,,,0,,,,,0,0.02547,0.0006,-0.00022,0,1,,,,,,,,29,12,2016-05-10,5.69,0.03,-0.03,0,175.71,0.86,-0.86,0,-41.1,0.1,0,-52.6,0.1,0,66.8,0.1,0,15.052,,0,,,,0
kepler1164b,287.529634,1.7e-05,19.16864224,1.11e-06,19h10m07.11s,38.894513,1.7e-05,+38d53m40.2s,70.080553,2.1e-05,13.291832,1.9e-05,298.533256,3.4e-05,60.608976,1.9e-05,2,,,,,1,447.0,14.44,-15.12,0,3,-2.4,,0,2.7,,0,3.6,,0,2,,,,,0,,,,,,,,,,,,,,,,12.719,0.021,0,12.261,0.022,0,12.203,0.02,0,12.142,0.022,0,12.198,0.021,0,12.321,0.375,0,8.424,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.11,,0,Kepler-band,14,,,,,,,,,,,,,0.458,0.03,0,0.058,0.03,0,0.516,0.029,0,,,,,,,,,,5,,,,0,5183.0,80.28,-63.78,0,5,4.57,0.02,-0.02,0.0,3,-0.03,0.105,-0.105,0,2,[Fe/H],,,,,1,0.79,0.02,-0.02,0,5,0.85,0.03,-0.04,0,2,,,,,0,3.63,2.8,-1.82,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-1164 b,Kepler-1164,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-1164_b/,,3.97599768,1.086e-05,-1.086e-05,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.1,0.004,-0.006,0,1.12,0.04,-0.07,0,0.01,0.0,-0.001,0,2,,,,,0,,,,,0,,,,,1,,,,,0,0.089212,0.002833,-0.002833,0,1,2454966.62134,0.0022,-0.0022,0,2,JD,,,,,0,,,,,0,,,,,0,0.01345,0.00026,-0.00068,0,1,,,,,,,,28,11,2016-05-10,2.29,0.02,-0.02,0,437.06,3.28,-3.28,0,0.0,0.0,0,2.5,0.0,0,2.5,0.0,0,14.09,,0,,,,0
kepler1053b,291.418635,1.7e-05,19.42790898,1.11e-06,19h25m40.47s,39.127415,1.7e-05,+39d07m38.7s,71.618355,2.1e-05,10.660887,1.9e-05,304.540429,3.4e-05,60.024237,2e-05,2,,,,,1,171.0,8.71,-8.49,0,3,-4.1,,0,-10.1,,0,10.9,,0,2,-15.05,2.86,-2.86,0.0,1,,,,,,,,,,,,,,,,11.334,0.02,0,10.736,0.022,0,10.585,0.018,0,10.537,0.023,0,10.583,0.02,0,10.66,0.075,0,9.391,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.156,,0,Kepler-band,14,,,,,,,,,,,,,0.598,0.03,0,0.151,0.028,0,0.749,0.027,0,,,,,,,,,,5,,,,0,4529.0,81.74,-98.25,0,5,4.63,0.02,-0.03,0.0,3,0.1,0.16,-0.171,0,2,[Fe/H],,,,,1,0.69,0.03,-0.03,0,5,0.74,0.03,-0.04,0,2,,,,,0,3.09,5.5,-1.55,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-1053 b,Kepler-1053,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/Kepler-1053_b/,,2.41435165,2.54e-06,-2.54e-06,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.087,0.004,-0.004,0,0.98,0.05,-0.04,0,0.009,0.0,-0.0,0,2,,,,,0,,,,,0,,,,,1,,,,,1,0.051033,0.001242,-0.001242,0,2,2454965.428855,0.000881,-0.000881,0,3,JD,,,,,0,,,,,0,,,,,0,0.01319,0.00028,-0.00031,0,1,,,,,,,,32,12,2016-05-10,6.59,0.02,-0.02,0,151.79,0.39,-0.39,0,-1.0,0.0,0,-7.4,0.0,0,7.4,0.0,0,13.209,,0,,,,0
kepler1332b,291.02859,1.7e-05,19.401906,1.11e-06,19h24m06.86s,43.913673,1.7e-05,+43d54m49.2s,75.888637,2.1e-05,13.01215,1.8e-05,307.16147,3.9e-05,64.663541,2e-05,2,,,,,1,515.0,22.51,-21.12,0,3,10.0,0.0,0,6.0,0.0,0,11.7,0.0,0,1,,,,,0,,,,,,,,,,,,,,,,12.568,0.022,0,12.203,0.018,0,12.122,0.019,0,12.026,0.023,0,12.079,0.021,0,11.95,0.2,0,8.675,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.756,,0,Kepler-band,14,,,,,,,,,,,,,0.365,0.028,0,0.081,0.026,0,0.446,0.029,0,,,,,,,,,,5,,,,0,5581.0,83.36,-69.91,0,4,4.51,0.03,-0.03,0.0,2,0.0,0.098,-0.1,0,2,[Fe/H],,,,,1,0.9,0.04,-0.03,0,4,0.95,0.03,-0.04,0,1,,,,,0,3.24,2.43,-1.58,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-1332 b,Kepler-1332,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-1332_b/,,11.87456832,3.749e-05,-3.749e-05,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.122,0.008,-0.004,0,1.37,0.09,-0.05,0,0.013,0.001,-0.0,0,2,,,,,0,,,,,0,,,,,1,,,,,1,0.082925,0.002979,-0.002979,0,2,2454973.21371,0.00257,-0.00257,0,3,JD,,,,,0,,,,,0,,,,,0,0.01381,0.00076,-0.00024,0,1,,,,,,,,28,11,2016-05-10,1.86,0.01,-0.01,0,536.87,4.31,-4.31,0,10.0,0.0,0,6.0,0.0,0,11.7,0.0,0,13.795,,0,,,,0
kepler723b,284.830468,1.7e-05,18.98869787,1.11e-06,18h59m19.31s,44.658142,1.7e-05,+44d39m29.3s,74.780886,2.1e-05,17.381225,1.7e-05,297.397003,4e-05,66.692405,1.9e-05,2,,,,,1,965.0,125.65,-67.84,0,2,-4.4,0.2,0,-12.5,0.2,0,13.2,0.2,0,1,,,,,0,,,,,,,,,,,,,,,,13.949,0.026,0,13.593,0.021,0,13.499,0.046,0,13.511,0.025,0,13.595,0.027,0,12.522,,-1,8.772,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.198,,0,Kepler-band,14,,,,,,,,,,,,,0.356,0.033,0,0.094,0.051,0,0.45,0.053,0,,,,,,,,,,5,,,,0,5539.0,75.49,-85.21,0,4,4.51,0.05,-0.12,0.0,3,0.0,0.136,-0.178,0,2,[Fe/H],,,,,0,0.89,0.12,-0.06,0,3,0.92,0.04,-0.05,0,1,,,,,0,4.57,5.7,-2.87,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-723 b,Kepler-723,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-723_b/,,4.08227507,2.3e-07,-2.3e-07,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,1.088,0.141,-0.07,0,12.19,1.58,-0.79,0,0.112,0.014,-0.007,0,1,,,,,0,,,,,0,,,,,0,,,,,0,0.134915,8.21e-05,-8.21e-05,0,1,2455002.637529,4.6e-05,-4.6e-05,0,2,JD,,,,,0,,,,,0,,,,,0,0.1247,9e-05,-4e-05,0,1,,,,,,,,21,10,2016-05-10,0.73,0.11,-0.11,0,1376.7,210.31,-210.31,0,-4.4,0.2,0,-12.5,0.2,0,13.2,0.2,0,15.201,,0,,,,0
kepler537b,289.880634,1.7e-05,19.3253756,1.11e-06,19h19m31.35s,51.277081,1.7e-05,+51d16m37.5s,82.520471,2e-05,16.720186,1.6e-05,312.841293,5.3e-05,71.769052,2e-05,2,,,,,1,465.0,15.58,-15.0,0,3,-7.5,0.0,0,-20.0,0.0,0,21.4,0.0,0,1,,,,,0,,,,,,,,,,,,,,,,12.007,0.029,0,11.706,0.031,0,11.623,0.023,0,11.549,0.023,0,11.612,0.021,0,11.481,0.103,0,9.152,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,0,Kepler-band,14,,,,,,,,,,,,,0.301,0.042,0,0.083,0.039,0,0.384,0.037,0,,,,,,,,,,5,,,,0,5763.0,62.32,-50.52,0,5,4.47,0.02,-0.02,0.0,3,0.23,0.062,-0.057,0,2,[Fe/H],,,,,1,0.99,0.03,-0.03,0,5,1.07,0.03,-0.03,0,1,,,,,0,1.45,0.712,-0.329,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-537 b,Kepler-537,b,1,1,0,3,Transit,2016,Morton et al. 2016,,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Morton et al. 2016,0,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-537_b/,,3.24755522,5.26e-06,-5.26e-06,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.126,0.005,-0.004,0,1.41,0.06,-0.04,0,0.013,0.001,-0.0,0,2,,,,,0,,,,,0,,,,,1,,,,,1,0.103483,0.001729,-0.001729,0,2,2455004.27746,0.00127,-0.00127,0,3,JD,,,,,0,,,,,0,,,,,0,0.01312,0.00044,-0.00018,0,1,,,,,,,,31,12,2016-05-10,2.25,0.01,-0.01,0,445.05,2.43,-2.43,0,-7.5,0.0,0,-20.0,0.0,0,21.4,0.0,0,13.066,,0,,,,0
kepler446b,282.250207,1.7e-05,18.81668044,1.11e-06,18h49m00.05s,44.921102,1.7e-05,+44d55m16.0s,74.368062,2.1e-05,19.189134,1.7e-05,292.998328,3.9e-05,67.384845,1.9e-05,2,,,,,1,120.0,,,0,4,-12.0,,0,-22.0,,0,25.1,,0,2,-118.0,1.0,-1.0,0.0,1,,,,,,,,,,,,,,,,13.591,0.021,0,13.075,0.026,0,12.827,0.024,0,12.709,0.047,0,12.484,0.045,0,12.488,0.378,0,8.93,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.257,,0,Kepler-band,13,,,,,,,,,,,,,0.516,0.033,0,0.248,0.035,0,0.764,0.032,0,,,,,,,,,,5,M4,,0.0,1,3359.0,60.0,-60.0,0,6,,,,,2,-0.3,0.12,-0.12,0,3,[Fe/H],,,,,1,0.24,0.04,-0.04,0,5,0.22,0.05,-0.05,0,3,,,,,0,,,,,1,,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,,,,Kepler-446 b,Kepler-446,b,3,1,0,3,Transit,2015,Muirhead et al. 2015,2015-03,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,Space,Muirhead et al. 2015,1,0,0,1,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-446_b/,http://exoplanets.org/detail/Kepler-446_b,1.565409,3.3e-06,-3.3e-06,0,4,,,,,0,87.42,0.62,-0.37,0.0,1,,,,,0,0.0,,,0.0,1,,,,,0,7.0,1.0,-1.0,0.0,1,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,0.13,0.02,-0.02,0,1.5,0.25,-0.25,0,0.014,0.002,-0.002,0,4,,,,,0,,,,,0,,,,,2,,,,,1,0.0269,0.0019,-0.0019,0,3,2454965.9135,0.0019,-0.0019,0,4,BJD,0.601,0.096,-0.088,0.0,1,,,,,0,14.2,0.94,-0.94,0.0,1,0.0574,0.0026,-0.0026,0,2,,,,,,,,46,13,2015-01-14,10.35,0.05,-0.05,0,96.6,0.51,-0.51,0,-12.5,0.1,0,-24.0,0.1,0,27.1,0.1,0,16.31,,0,,,,0
