,HitNum,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD,SEFD_freq,Coarse_Channel_Number,Full_number_of_hits
118,120,-0.459192,63.83869,1647.017866,1647.017866,869768,1647.01885,1647.0169050000002,0.0,0.0,23,3818
119,121,0.497457,664.853977,1647.015128,1647.015128,870013,1647.016112,1647.014167,0.0,0.0,23,3818
123,125,-0.344394,232.927001,1641.21047,1641.21047,340829,1641.211454,1641.209509,0.0,0.0,24,7146
131,133,0.535723,15.898914000000001,1626.47076,1626.47076,611140,1626.471743,1626.469798,0.0,0.0,25,1071600
133,135,-0.38266,46.454902000000004,1626.4656630000002,1626.4656630000002,611596,1626.466647,1626.464702,0.0,0.0,25,1071600
134,136,-0.5739890000000001,38.104964,1626.4627460000002,1626.4627460000002,611857,1626.4637300000002,1626.461785,0.0,0.0,25,1071600
138,140,0.535723,32.022202,1626.450062,1626.450062,612992,1626.451045,1626.449101,0.0,0.0,25,1071600
139,141,-0.535723,20.943136,1626.4471,1626.4471,613257,1626.4480839999999,1626.4461390000001,0.0,0.0,25,1071600
141,143,0.5739890000000001,28.933335999999997,1626.444329,1626.444329,613505,1626.4453119999998,1626.443367,0.0,0.0,25,1071600
142,144,0.344394,27.970088,1626.4431220000001,1626.4431220000001,613613,1626.444105,1626.44216,0.0,0.0,25,1071600
143,145,-0.535723,25.506844,1626.439456,1626.439456,613941,1626.440439,1626.4384949999999,0.0,0.0,25,1071600
145,147,0.5739890000000001,23.00824,1626.435634,1626.435634,614283,1626.436617,1626.434673,0.0,0.0,25,1071600
147,149,0.535723,18.071773999999998,1626.4314880000002,1626.4314880000002,614654,1626.432471,1626.4305259999999,0.0,0.0,25,1071600
151,153,-0.5739890000000001,21.881161,1626.424782,1626.424782,615254,1626.425765,1626.423821,0.0,0.0,25,1071600
152,154,-0.306128,17.328566,1626.423407,1626.423407,615377,1626.424391,1626.422446,0.0,0.0,25,1071600
153,155,0.344394,17.357618,1626.422044,1626.422044,615499,1626.423027,1626.421083,0.0,0.0,25,1071600
154,156,0.497457,13.949595,1626.420692,1626.420692,615620,1626.421675,1626.41973,0.0,0.0,25,1071600
155,157,0.5739890000000001,19.087316,1626.417741,1626.417741,615884,1626.418725,1626.41678,0.0,0.0,25,1071600
156,158,0.497457,28.95226,1626.4146449999998,1626.4146449999998,616161,1626.4156289999999,1626.4136839999999,0.0,0.0,25,1071600
159,161,-0.459192,30.858408,1626.410879,1626.410879,616498,1626.411863,1626.409918,0.0,0.0,25,1071600
160,162,-0.5739890000000001,33.285532,1626.408242,1626.408242,616734,1626.409225,1626.407281,0.0,0.0,25,1071600
161,163,0.5739890000000001,23.467867000000002,1626.406319,1626.406319,616906,1626.407303,1626.405358,0.0,0.0,25,1071600
162,164,0.497457,13.885473000000001,1626.403861,1626.403861,617126,1626.404844,1626.4029,0.0,0.0,25,1071600
165,167,-0.5739890000000001,5.008494000000001,1626.306865,1626.306865,625805,1626.307849,1626.3059039999998,0.0,0.0,25,1071600
168,170,0.497457,11.545392,1626.2962710000002,1626.2962710000002,626753,1626.2972539999998,1626.29531,0.0,0.0,25,1071600
169,171,0.306128,15.642644,1626.294952,1626.294952,626871,1626.2959349999999,1626.293991,0.0,0.0,25,1071600
171,173,-0.306128,10.433357,1626.287118,1626.287118,627572,1626.2881009999999,1626.2861560000001,0.0,0.0,25,1071600
173,175,-0.535723,9.947296000000001,1626.283698,1626.283698,627878,1626.284681,1626.282737,0.0,0.0,25,1071600
175,177,0.535723,12.054689,1626.279708,1626.279708,628235,1626.280691,1626.278747,0.0,0.0,25,1071600
177,179,0.497457,7.219944,1626.2770369999998,1626.2770369999998,628474,1626.27802,1626.2760759999999,0.0,0.0,25,1071600
178,180,-0.420926,10.069202,1626.274355,1626.274355,628714,1626.2753380000001,1626.273394,0.0,0.0,25,1071600
179,181,0.38266,5.000266000000001,1626.2696720000001,1626.2696720000001,629133,1626.2706560000001,1626.268711,0.0,0.0,25,1071600
181,183,0.535723,10.292028,1626.119256,1626.119256,642592,1626.120239,1626.118295,0.0,0.0,25,1071600
182,184,0.5739890000000001,11.17875,1626.116786,1626.116786,642813,1626.1177699999998,1626.115825,0.0,0.0,25,1071600
183,185,-0.5739890000000001,9.476309,1626.115467,1626.115467,642931,1626.1164509999999,1626.1145060000001,0.0,0.0,25,1071600
184,186,0.535723,17.274379999999997,1626.110449,1626.110449,643380,1626.111433,1626.109488,0.0,0.0,25,1071600
185,187,-0.535723,5.433395,1626.10627,1626.10627,643754,1626.107253,1626.105309,0.0,0.0,25,1071600
187,189,-0.535723,7.820869,1625.9863189999999,1625.9863189999999,654487,1625.9873029999999,1625.985358,0.0,0.0,25,1071600
190,192,-0.535723,29.381778000000004,1625.965051,1625.965051,656390,1625.966035,1625.96409,0.0,0.0,25,1071600
191,193,-0.420926,29.218301,1625.962324,1625.962324,656634,1625.963308,1625.9613630000001,0.0,0.0,25,1071600
193,195,0.459192,63.163726000000004,1625.956312,1625.956312,657172,1625.957295,1625.955351,0.0,0.0,25,1071600
194,196,-0.5739890000000001,8.800296000000001,1625.946175,1625.946175,658079,1625.947159,1625.945214,0.0,0.0,25,1071600
195,197,0.535723,8.602162,1625.9387550000001,1625.9387550000001,658743,1625.939738,1625.937793,0.0,0.0,25,1071600
